"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2100","Constant-fertility scenario","892852.114"
"Afghanistan","2100","High variant","158738.406"
"Afghanistan","2100","Low variant","75016.607"
"Afghanistan","2100","Medium variant","110878.627"
"Afghanistan","2095","Constant-fertility scenario","730016.929"
"Afghanistan","2095","High variant","152421.181"
"Afghanistan","2095","Low variant","76928.53"
"Afghanistan","2095","Medium variant","109788.062"
"Afghanistan","2090","Constant-fertility scenario","597300.582"
"Afghanistan","2090","High variant","145803.198"
"Afghanistan","2090","Low variant","78369.123"
"Afghanistan","2090","Medium variant","108167.022"
"Afghanistan","2085","Constant-fertility scenario","489131.979"
"Afghanistan","2085","High variant","138866.948"
"Afghanistan","2085","Low variant","79275.546"
"Afghanistan","2085","Medium variant","105987.231"
"Afghanistan","2080","Constant-fertility scenario","400949.695"
"Afghanistan","2080","High variant","131625.737"
"Afghanistan","2080","Low variant","79599.586"
"Afghanistan","2080","Medium variant","103243.053"
"Afghanistan","2075","Constant-fertility scenario","329072.643"
"Afghanistan","2075","High variant","124140.849"
"Afghanistan","2075","Low variant","79307.972"
"Afghanistan","2075","Medium variant","99954.587"
"Afghanistan","2070","Constant-fertility scenario","270533.756"
"Afghanistan","2070","High variant","116465.074"
"Afghanistan","2070","Low variant","78347.99"
"Afghanistan","2070","Medium variant","96123.727"
"Afghanistan","2065","Constant-fertility scenario","222878.285"
"Afghanistan","2065","High variant","108671.834"
"Afghanistan","2065","Low variant","76720.359"
"Afghanistan","2065","Medium variant","91793.429"
"Afghanistan","2060","Constant-fertility scenario","184049.877"
"Afghanistan","2060","High variant","100775.441"
"Afghanistan","2060","Low variant","74433.455"
"Afghanistan","2060","Medium variant","86990.148"
"Afghanistan","2055","Constant-fertility scenario","152322.576"
"Afghanistan","2055","High variant","92795.844"
"Afghanistan","2055","Low variant","71542.873"
"Afghanistan","2055","Medium variant","81772.516"
"Afghanistan","2050","Constant-fertility scenario","126341.514"
"Afghanistan","2050","High variant","84826.141"
"Afghanistan","2050","Low variant","68141.06"
"Afghanistan","2050","Medium variant","76249.991"
"Afghanistan","2045","Constant-fertility scenario","105090.755"
"Afghanistan","2045","High variant","77024.117"
"Afghanistan","2045","Low variant","64317.072"
"Afghanistan","2045","Medium variant","70552.945"
"Afghanistan","2040","Constant-fertility scenario","87779.551"
"Afghanistan","2040","High variant","69531.863"
"Afghanistan","2040","Low variant","60129.329"
"Afghanistan","2040","Medium variant","64784.179"
"Afghanistan","2035","Constant-fertility scenario","73691.473"
"Afghanistan","2035","High variant","62408.253"
"Afghanistan","2035","Low variant","55639.279"
"Afghanistan","2035","Medium variant","59011.26"
"Afghanistan","2030","Constant-fertility scenario","62123.61"
"Afghanistan","2030","High variant","55606.739"
"Afghanistan","2030","Low variant","50928.152"
"Afghanistan","2030","Medium variant","53265.732"
"Afghanistan","2025","Constant-fertility scenario","52465.91"
"Afghanistan","2025","High variant","49082.191"
"Afghanistan","2025","Low variant","46121.918"
"Afghanistan","2025","Medium variant","47602.055"
"Afghanistan","2020","Constant-fertility scenario","44360.446"
"Afghanistan","2020","High variant","42890.809"
"Afghanistan","2020","Low variant","41392.025"
"Afghanistan","2020","Medium variant","42141.417"
"Afghanistan","2015","Constant-fertility scenario","37402.122"
"Afghanistan","2015","High variant","36991.92"
"Afghanistan","2015","Low variant","36477.613"
"Afghanistan","2015","Medium variant","36734.767"
"Afghanistan","2010","Constant-fertility scenario","31411.743"
"Afghanistan","2010","High variant","31411.743"
"Afghanistan","2010","Low variant","31411.743"
"Afghanistan","2010","Medium variant","31411.743"
"Afghanistan","2005","Medium variant","27614.718"
"Afghanistan","2000","Medium variant","22856.302"
"Afghanistan","1995","Medium variant","19789.88"
"Afghanistan","1990","Medium variant","13032.161"
"Afghanistan","1985","Medium variant","12625.292"
"Afghanistan","1980","Medium variant","14185.729"
"Afghanistan","1975","Medium variant","13505.544"
"Afghanistan","1970","Medium variant","11964.906"
"Afghanistan","1965","Medium variant","10697.983"
"Afghanistan","1960","Medium variant","9671.046"
"Afghanistan","1955","Medium variant","8832.253"
"Afghanistan","1950","Medium variant","8151.455"
"Africa","2100","Constant-fertility scenario","14958647.262"
"Africa","2100","High variant","5198432.433"
"Africa","2100","Low variant","2378387.277"
"Africa","2100","Medium variant","3574141.307"
"Africa","2095","Constant-fertility scenario","12608571.305"
"Africa","2095","High variant","4901653.169"
"Africa","2095","Low variant","2388716.342"
"Africa","2095","Medium variant","3471176.351"
"Africa","2090","Constant-fertility scenario","10645899.114"
"Africa","2090","High variant","4607711.805"
"Africa","2090","Low variant","2387587.64"
"Africa","2090","Medium variant","3358296.234"
"Africa","2085","Constant-fertility scenario","9005688.711"
